,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
515,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
516,District 9,2009,7.9,81,584741,79.0
517,X: First Class,2011,7.8,65,582944,78.0
518,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
519,The Imitation Game,2014,8.0,73,581323,80.0
520,Full Metal Jacket,1987,8.3,76,574404,83.0
521,How to Train Your Dragon,2010,8.1,74,573194,81.0
522,Skyfall,2012,7.8,81,572893,78.0
523,Aliens,1986,8.4,84,571663,84.0
524,The King's Speech,2010,8.0,88,567609,80.0
525,The Revenant,2015,8.0,76,567555,80.0
526,The Bourne Ultimatum,2007,8.0,85,563232,80.0
527,Trainspotting,1996,8.2,83,562192,82.0
528,Million Dollar Baby,2004,8.1,86,559844,81.0
529,Whiplash,2014,8.5,88,559811,85.0
530,The Incredibles,2004,8.0,90,559084,80.0
531,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
532,Transformers,2007,7.1,61,554168,71.0
533,12 Angry Men,1957,8.9,96,551058,89.0
534,Star Trek,2009,8.0,82,545148,80.0
535,Pan's Labyrinth,2006,8.2,98,545111,82.0
536,The Social Network,2010,7.7,95,544959,77.0
537,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
538,Ratatouille,2007,8.0,96,543097,80.0
539,12 Years a Slave,2013,8.1,96,543047,81.0
540,Fargo,1996,8.1,85,533104,81.0
541,Shrek,2001,7.9,84,530118,79.0
542,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
543,World War Z,2013,7.0,63,529104,70.0
544,Twelve Monkeys,1995,8.0,74,524491,80.0
545,Prometheus,2012,7.0,64,521150,70.0
546,Apocalypse Now,1979,8.5,94,520058,85.0
547,Casino Royale,2006,8.0,80,519852,80.0
548,Ted,2012,7.0,62,519682,70.0
549,Spirited Away,2001,8.6,96,516890,86.0
550,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
551,Edge of Tomorrow,2014,7.9,71,516275,79.0
552,Groundhog Day,1993,8.0,72,514963,80.0
553,Argo,2012,7.7,86,513656,77.0
554,Captain America: Civil War,2016,7.8,75,512833,78.0
555,X-Men,2000,7.4,64,512495,74.0
556,2001: A Space Odyssey,1968,8.3,82,509086,83.0
557,Life of Pi,2012,7.9,79,507235,79.0
558,The Amazing Spider-Man,2012,7.0,66,503570,70.0
559,Psycho,1960,8.5,97,502693,85.0
560,Into the Wild,2007,8.1,73,500615,81.0
561,Heat,1995,8.2,76,498521,82.0
562,Drive,2011,7.8,78,497249,78.0
563,Logan,2017,8.1,77,495828,81.0
564,Prisoners,2013,8.1,74,490946,81.0
565,Inside Out,2015,8.2,94,490214,82.0
566,Frozen,2013,7.5,74,488549,75.0
567,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
568,Jaws,1975,8.0,87,484517,80.0
569,Kick-Ass,2010,7.6,66,480883,76.0
570,Looper,2012,7.4,84,480184,74.0
571,Spider-Man 2,2004,7.3,83,473808,73.0
572,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
573,L.A. Confidential,1997,8.3,90,472355,83.0
574,Superbad,2007,7.6,76,465208,76.0
575,The Matrix Reloaded,2003,7.2,62,461122,72.0
576,X2,2003,7.5,68,459676,75.0
577,Arrival,2016,7.9,81,459227,79.0
578,21 Jump Street,2012,7.2,69,459122,72.0
579,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
580,The Bourne Identity,2002,7.9,68,458251,79.0
581,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
582,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
583,Million Dollar Baby,2004,8.1,86,559844,81.0
584,The Incredibles,2004,8.0,90,559084,80.0
585,Spider-Man 2,2004,7.3,83,473808,73.0
586,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,454249,79.0
587,Shaun of the Dead,2004,7.9,76,447466,79.0
588,The Bourne Supremacy,2004,7.8,73,392942,78.0
589,Crash,2004,7.8,69,390414,78.0
590,Shrek 2,2004,7.2,75,358746,72.0
591,Collateral,2004,7.5,71,322692,75.0
592,The Machinist,2004,7.7,61,316913,77.0
593,Hotel Rwanda,2004,8.1,79,301925,81.0
594,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,296863,72.0
595,The Aviator,2004,7.5,77,295250,75.0
596,Downfall,2004,8.2,82,290086,82.0
597,Mean Girls,2004,7.0,66,284718,70.0
598,Hellboy,2004,6.9,72,273236,69.0
599,Howl's Moving Castle,2004,8.2,80,263794,82.0
600,Garden State,2004,7.5,67,198084,75.0
601,Before Sunset,2004,8.1,90,195703,81.0
602,Finding Neverland,2004,7.7,67,186609,77.0
603,Closer,2004,7.3,65,183969,73.0
604,A Series of Unfortunate Events,2004,6.8,62,178708,68.0
605,Napoleon Dynamite,2004,6.9,64,177479,69.0
606,Harold & Kumar Go to White Castle,2004,7.1,64,167645,71.0
607,Sideways,2004,7.5,94,164428,75.0
608,The Sixth Sense,1999,8.1,64,806444,81.0
609,Iron Man,2008,7.9,79,802956,79.0
610,Up,2009,8.3,88,794144,83.0
611,The Truman Show,1998,8.1,90,789068,81.0
612,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
613,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
614,Reservoir Dogs,1992,8.3,79,779577,83.0
615,The Lion King,1994,8.5,83,776378,85.0
616,The Hunger Games,2012,7.2,68,770809,72.0
617,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
618,Deadpool,2016,8.0,65,748247,80.0
619,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
620,Toy Story,1995,8.3,95,742862,83.0
621,Jurassic Park,1993,8.1,68,737138,81.0
622,The Shining,1980,8.4,63,728819,84.0
623,A Beautiful Mind,2001,8.2,72,727526,82.0
624,Mad Max: Fury Road,2015,8.1,90,723851,81.0
625,No Country for Old Men,2007,8.1,91,722825,81.0
626,Good Will Hunting,1997,8.3,70,721931,83.0
627,Slumdog Millionaire,2008,8.0,86,716706,80.0
628,Gone Girl,2014,8.1,79,710979,81.0
629,Sin City,2005,8.0,74,701757,80.0
630,Monsters Inc.,2001,8.1,78,695989,81.0
631,The Terminator,1984,8.0,84,693260,80.0
632,Die Hard,1988,8.2,70,683978,82.0
633,Alien,1979,8.5,83,674743,85.0
634,Gravity,2013,7.7,96,671223,77.0
635,Donnie Darko,2001,8.1,88,669077,81.0
636,Requiem for a Dream,2000,8.3,68,666675,83.0
637,Catch Me If You Can,2002,8.1,75,665288,81.0
638,A Clockwork Orange,1971,8.3,78,652211,83.0
639,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
640,The Hangover,2009,7.7,73,643776,77.0
641,Toy Story 3,2010,8.3,92,643076,83.0
642,Iron Man Three,2013,7.2,62,643053,72.0
643,Gran Torino,2008,8.1,72,641602,81.0
644,Scarface,1983,8.3,65,627909,83.0
645,The Big Lebowski,1998,8.1,69,627050,81.0
646,The Martian,2015,8.0,80,626956,80.0
647,Amélie,2001,8.3,69,621149,83.0
648,Black Swan,2010,8.0,79,619293,80.0
649,City of God,2002,8.6,79,612325,86.0
650,Spider-Man,2002,7.3,73,611215,73.0
651,Captain America: The First Avenger,2011,6.9,66,608919,69.0
652,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
653,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
654,I Am Legend,2007,7.2,65,606795,72.0
655,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
656,Taxi Driver,1976,8.3,94,600305,83.0
657,The Pianist,2002,8.5,85,598137,85.0
658,Silver Linings Playbook,2012,7.8,81,597429,78.0
659,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
660,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
661,Blade Runner,1982,8.2,89,592183,82.0
662,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
663,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
664,District 9,2009,7.9,81,584741,79.0
665,X: First Class,2011,7.8,65,582944,78.0
666,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
667,The Imitation Game,2014,8.0,73,581323,80.0
668,Full Metal Jacket,1987,8.3,76,574404,83.0
669,How to Train Your Dragon,2010,8.1,74,573194,81.0
670,Skyfall,2012,7.8,81,572893,78.0
671,Aliens,1986,8.4,84,571663,84.0
672,The King's Speech,2010,8.0,88,567609,80.0
673,The Revenant,2015,8.0,76,567555,80.0
674,The Bourne Ultimatum,2007,8.0,85,563232,80.0
675,Trainspotting,1996,8.2,83,562192,82.0
676,Million Dollar Baby,2004,8.1,86,559844,81.0
677,Whiplash,2014,8.5,88,559811,85.0
678,The Incredibles,2004,8.0,90,559084,80.0
679,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
680,Transformers,2007,7.1,61,554168,71.0
681,12 Angry Men,1957,8.9,96,551058,89.0
682,Star Trek,2009,8.0,82,545148,80.0
683,Pan's Labyrinth,2006,8.2,98,545111,82.0
684,The Social Network,2010,7.7,95,544959,77.0
685,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
686,Ratatouille,2007,8.0,96,543097,80.0
687,12 Years a Slave,2013,8.1,96,543047,81.0
688,Fargo,1996,8.1,85,533104,81.0
689,Shrek,2001,7.9,84,530118,79.0
690,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
691,World War Z,2013,7.0,63,529104,70.0
692,Twelve Monkeys,1995,8.0,74,524491,80.0
693,Prometheus,2012,7.0,64,521150,70.0
694,Apocalypse Now,1979,8.5,94,520058,85.0
695,Casino Royale,2006,8.0,80,519852,80.0
696,Ted,2012,7.0,62,519682,70.0
697,Spirited Away,2001,8.6,96,516890,86.0
698,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
699,Edge of Tomorrow,2014,7.9,71,516275,79.0
700,Groundhog Day,1993,8.0,72,514963,80.0
701,Argo,2012,7.7,86,513656,77.0
702,Captain America: Civil War,2016,7.8,75,512833,78.0
703,X-Men,2000,7.4,64,512495,74.0
704,2001: A Space Odyssey,1968,8.3,82,509086,83.0
705,Life of Pi,2012,7.9,79,507235,79.0
706,The Amazing Spider-Man,2012,7.0,66,503570,70.0
707,Psycho,1960,8.5,97,502693,85.0
708,Into the Wild,2007,8.1,73,500615,81.0
709,Heat,1995,8.2,76,498521,82.0
710,Drive,2011,7.8,78,497249,78.0
711,Logan,2017,8.1,77,495828,81.0
712,Prisoners,2013,8.1,74,490946,81.0
713,Inside Out,2015,8.2,94,490214,82.0
714,Frozen,2013,7.5,74,488549,75.0
715,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
716,Jaws,1975,8.0,87,484517,80.0
717,Kick-Ass,2010,7.6,66,480883,76.0
718,Looper,2012,7.4,84,480184,74.0
719,Spider-Man 2,2004,7.3,83,473808,73.0
720,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
721,L.A. Confidential,1997,8.3,90,472355,83.0
722,Superbad,2007,7.6,76,465208,76.0
723,The Matrix Reloaded,2003,7.2,62,461122,72.0
724,X2,2003,7.5,68,459676,75.0
725,Arrival,2016,7.9,81,459227,79.0
726,21 Jump Street,2012,7.2,69,459122,72.0
727,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
728,The Bourne Identity,2002,7.9,68,458251,79.0
729,Batman Begins,2005,8.3,70,1133646,83.0
730,V for Vendetta,2005,8.2,62,911178,82.0
731,Sin City,2005,8.0,74,701757,80.0
732,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
733,Harry Potter and the Goblet of Fire,2005,7.7,81,455175,77.0
734,War of the Worlds,2005,6.5,73,371611,65.0
735,Charlie and the Chocolate Factory,2005,6.7,72,368573,67.0
736,King Kong,2005,7.2,81,352593,72.0
737,The 40-Year-Old Virgin,2005,7.1,73,347880,71.0
738,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,6.9,75,323882,69.0
739,Wedding Crashers,2005,7.0,64,304287,70.0
740,Brokeback Mountain,2005,7.7,87,287702,77.0
741,Lord of War,2005,7.6,62,269584,76.0
742,Serenity,2005,7.9,74,261550,79.0
743,Kingdom of Heaven,2005,7.2,63,241455,72.0
744,Pride & Prejudice,2005,7.8,82,218917,78.0
745,Corpse Bride,2005,7.4,83,214178,74.0
746,Walk the Line,2005,7.9,72,204935,79.0
747,A History of Violence,2005,7.5,81,204421,75.0
748,Thank You for Smoking,2005,7.6,71,202436,76.0
749,Kiss Kiss Bang Bang,2005,7.6,72,195622,76.0
750,Munich,2005,7.6,74,192658,76.0
751,Match Point,2005,7.7,72,185013,77.0
752,The Descent,2005,7.2,71,176581,72.0
753,The Hitchhiker's Guide to the Galaxy,2005,6.8,63,171171,68.0
754,Cinderella Man,2005,8.0,69,161533,80.0
755,The Sixth Sense,1999,8.1,64,806444,81.0
756,Iron Man,2008,7.9,79,802956,79.0
757,Up,2009,8.3,88,794144,83.0
758,The Truman Show,1998,8.1,90,789068,81.0
759,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
760,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
761,Reservoir Dogs,1992,8.3,79,779577,83.0
762,The Lion King,1994,8.5,83,776378,85.0
763,The Hunger Games,2012,7.2,68,770809,72.0
764,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
765,Deadpool,2016,8.0,65,748247,80.0
766,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
767,Toy Story,1995,8.3,95,742862,83.0
768,Jurassic Park,1993,8.1,68,737138,81.0
769,The Shining,1980,8.4,63,728819,84.0
770,A Beautiful Mind,2001,8.2,72,727526,82.0
771,Mad Max: Fury Road,2015,8.1,90,723851,81.0
772,No Country for Old Men,2007,8.1,91,722825,81.0
773,Good Will Hunting,1997,8.3,70,721931,83.0
774,Slumdog Millionaire,2008,8.0,86,716706,80.0
775,Gone Girl,2014,8.1,79,710979,81.0
776,Sin City,2005,8.0,74,701757,80.0
777,Monsters Inc.,2001,8.1,78,695989,81.0
778,The Terminator,1984,8.0,84,693260,80.0
779,Die Hard,1988,8.2,70,683978,82.0
780,Alien,1979,8.5,83,674743,85.0
781,Gravity,2013,7.7,96,671223,77.0
782,Donnie Darko,2001,8.1,88,669077,81.0
783,Requiem for a Dream,2000,8.3,68,666675,83.0
784,Catch Me If You Can,2002,8.1,75,665288,81.0
785,A Clockwork Orange,1971,8.3,78,652211,83.0
786,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
787,The Hangover,2009,7.7,73,643776,77.0
788,Toy Story 3,2010,8.3,92,643076,83.0
789,Iron Man Three,2013,7.2,62,643053,72.0
790,Gran Torino,2008,8.1,72,641602,81.0
791,Scarface,1983,8.3,65,627909,83.0
792,The Big Lebowski,1998,8.1,69,627050,81.0
793,The Martian,2015,8.0,80,626956,80.0
794,Amélie,2001,8.3,69,621149,83.0
795,Black Swan,2010,8.0,79,619293,80.0
796,City of God,2002,8.6,79,612325,86.0
797,Spider-Man,2002,7.3,73,611215,73.0
798,Captain America: The First Avenger,2011,6.9,66,608919,69.0
799,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
800,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
801,I Am Legend,2007,7.2,65,606795,72.0
802,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
803,Taxi Driver,1976,8.3,94,600305,83.0
804,The Pianist,2002,8.5,85,598137,85.0
805,Silver Linings Playbook,2012,7.8,81,597429,78.0
806,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
807,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
808,Blade Runner,1982,8.2,89,592183,82.0
809,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
810,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
811,District 9,2009,7.9,81,584741,79.0
812,X: First Class,2011,7.8,65,582944,78.0
813,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
814,The Imitation Game,2014,8.0,73,581323,80.0
815,Full Metal Jacket,1987,8.3,76,574404,83.0
816,How to Train Your Dragon,2010,8.1,74,573194,81.0
817,Skyfall,2012,7.8,81,572893,78.0
818,Aliens,1986,8.4,84,571663,84.0
819,The King's Speech,2010,8.0,88,567609,80.0
820,The Revenant,2015,8.0,76,567555,80.0
821,The Bourne Ultimatum,2007,8.0,85,563232,80.0
822,Trainspotting,1996,8.2,83,562192,82.0
823,Million Dollar Baby,2004,8.1,86,559844,81.0
824,Whiplash,2014,8.5,88,559811,85.0
825,The Incredibles,2004,8.0,90,559084,80.0
826,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
827,Transformers,2007,7.1,61,554168,71.0
828,12 Angry Men,1957,8.9,96,551058,89.0
829,Star Trek,2009,8.0,82,545148,80.0
830,Pan's Labyrinth,2006,8.2,98,545111,82.0
831,The Social Network,2010,7.7,95,544959,77.0
832,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
833,Ratatouille,2007,8.0,96,543097,80.0
834,12 Years a Slave,2013,8.1,96,543047,81.0
835,Fargo,1996,8.1,85,533104,81.0
836,Shrek,2001,7.9,84,530118,79.0
837,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
838,World War Z,2013,7.0,63,529104,70.0
839,Twelve Monkeys,1995,8.0,74,524491,80.0
840,Prometheus,2012,7.0,64,521150,70.0
841,Apocalypse Now,1979,8.5,94,520058,85.0
842,Casino Royale,2006,8.0,80,519852,80.0
843,Ted,2012,7.0,62,519682,70.0
844,Spirited Away,2001,8.6,96,516890,86.0
845,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
846,Edge of Tomorrow,2014,7.9,71,516275,79.0
847,Groundhog Day,1993,8.0,72,514963,80.0
848,Argo,2012,7.7,86,513656,77.0
849,Captain America: Civil War,2016,7.8,75,512833,78.0
850,X-Men,2000,7.4,64,512495,74.0
851,2001: A Space Odyssey,1968,8.3,82,509086,83.0
852,Life of Pi,2012,7.9,79,507235,79.0
853,The Amazing Spider-Man,2012,7.0,66,503570,70.0
854,Psycho,1960,8.5,97,502693,85.0
855,Into the Wild,2007,8.1,73,500615,81.0
856,Heat,1995,8.2,76,498521,82.0
857,Drive,2011,7.8,78,497249,78.0
858,Logan,2017,8.1,77,495828,81.0
859,Prisoners,2013,8.1,74,490946,81.0
860,Inside Out,2015,8.2,94,490214,82.0
861,Frozen,2013,7.5,74,488549,75.0
862,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
863,Jaws,1975,8.0,87,484517,80.0
864,Kick-Ass,2010,7.6,66,480883,76.0
865,Looper,2012,7.4,84,480184,74.0
866,Spider-Man 2,2004,7.3,83,473808,73.0
867,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
868,L.A. Confidential,1997,8.3,90,472355,83.0
869,Superbad,2007,7.6,76,465208,76.0
870,The Matrix Reloaded,2003,7.2,62,461122,72.0
871,X2,2003,7.5,68,459676,75.0
872,Arrival,2016,7.9,81,459227,79.0
873,21 Jump Street,2012,7.2,69,459122,72.0
874,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
875,The Bourne Identity,2002,7.9,68,458251,79.0
876,The Departed,2006,8.5,85,1017051,85.0
877,The Prestige,2006,8.5,66,1004126,85.0
878,Pan's Labyrinth,2006,8.2,98,545111,82.0
879,Casino Royale,2006,8.0,80,519852,80.0
880,Blood Diamond,2006,8.0,64,446110,80.0
881,Children of Men,2006,7.9,84,407286,79.0
882,Little Miss Sunshine,2006,7.8,80,394846,78.0
883,The Pursuit of Happyness,2006,8.0,64,386705,80.0
884,The Illusionist,2006,7.6,68,327350,76.0
885,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89,322121,73.0
886,The Devil Wears Prada,2006,6.9,62,321865,69.0
887,Cars,2006,7.1,73,306387,71.0
888,The Lives of Others,2006,8.4,89,305350,84.0
889,Inside Man,2006,7.6,76,301077,76.0
890,Mission: Impossible III,2006,6.9,66,286709,69.0
891,Babel,2006,7.5,69,265453,75.0
892,Apocalypto,2006,7.8,68,261377,78.0
893,Superman Returns,2006,6.1,72,255122,61.0
894,Stranger Than Fiction,2006,7.6,67,202119,76.0
895,Rocky Balboa,2006,7.2,63,180915,72.0
896,The Last King of Scotland,2006,7.7,74,160284,77.0
897,Happy Feet,2006,6.5,77,150568,65.0
898,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66,146477,66.0
899,Letters from Iwo Jima,2006,7.9,89,142665,79.0
900,Over the Hedge,2006,6.7,67,141499,67.0
901,The Sixth Sense,1999,8.1,64,806444,81.0
902,Iron Man,2008,7.9,79,802956,79.0
903,Up,2009,8.3,88,794144,83.0
904,The Truman Show,1998,8.1,90,789068,81.0
905,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
906,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
907,Reservoir Dogs,1992,8.3,79,779577,83.0
908,The Lion King,1994,8.5,83,776378,85.0
909,The Hunger Games,2012,7.2,68,770809,72.0
910,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
911,Deadpool,2016,8.0,65,748247,80.0
912,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
913,Toy Story,1995,8.3,95,742862,83.0
914,Jurassic Park,1993,8.1,68,737138,81.0
915,The Shining,1980,8.4,63,728819,84.0
916,A Beautiful Mind,2001,8.2,72,727526,82.0
917,Mad Max: Fury Road,2015,8.1,90,723851,81.0
918,No Country for Old Men,2007,8.1,91,722825,81.0
919,Good Will Hunting,1997,8.3,70,721931,83.0
920,Slumdog Millionaire,2008,8.0,86,716706,80.0
921,Gone Girl,2014,8.1,79,710979,81.0
922,Sin City,2005,8.0,74,701757,80.0
923,Monsters Inc.,2001,8.1,78,695989,81.0
924,The Terminator,1984,8.0,84,693260,80.0
925,Die Hard,1988,8.2,70,683978,82.0
926,Alien,1979,8.5,83,674743,85.0
927,Gravity,2013,7.7,96,671223,77.0
928,Donnie Darko,2001,8.1,88,669077,81.0
929,Requiem for a Dream,2000,8.3,68,666675,83.0
930,Catch Me If You Can,2002,8.1,75,665288,81.0
931,A Clockwork Orange,1971,8.3,78,652211,83.0
932,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
933,The Hangover,2009,7.7,73,643776,77.0
934,Toy Story 3,2010,8.3,92,643076,83.0
935,Iron Man Three,2013,7.2,62,643053,72.0
936,Gran Torino,2008,8.1,72,641602,81.0
937,Scarface,1983,8.3,65,627909,83.0
938,The Big Lebowski,1998,8.1,69,627050,81.0
939,The Martian,2015,8.0,80,626956,80.0
940,Amélie,2001,8.3,69,621149,83.0
941,Black Swan,2010,8.0,79,619293,80.0
942,City of God,2002,8.6,79,612325,86.0
943,Spider-Man,2002,7.3,73,611215,73.0
944,Captain America: The First Avenger,2011,6.9,66,608919,69.0
945,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
946,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
947,I Am Legend,2007,7.2,65,606795,72.0
948,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
949,Taxi Driver,1976,8.3,94,600305,83.0
950,The Pianist,2002,8.5,85,598137,85.0
951,Silver Linings Playbook,2012,7.8,81,597429,78.0
952,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
953,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
954,Blade Runner,1982,8.2,89,592183,82.0
955,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
956,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
957,District 9,2009,7.9,81,584741,79.0
958,X: First Class,2011,7.8,65,582944,78.0
959,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
960,The Imitation Game,2014,8.0,73,581323,80.0
961,Full Metal Jacket,1987,8.3,76,574404,83.0
962,How to Train Your Dragon,2010,8.1,74,573194,81.0
963,Skyfall,2012,7.8,81,572893,78.0
964,Aliens,1986,8.4,84,571663,84.0
965,The King's Speech,2010,8.0,88,567609,80.0
966,The Revenant,2015,8.0,76,567555,80.0
967,The Bourne Ultimatum,2007,8.0,85,563232,80.0
968,Trainspotting,1996,8.2,83,562192,82.0
969,Million Dollar Baby,2004,8.1,86,559844,81.0
970,Whiplash,2014,8.5,88,559811,85.0
971,The Incredibles,2004,8.0,90,559084,80.0
972,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
973,Transformers,2007,7.1,61,554168,71.0
974,12 Angry Men,1957,8.9,96,551058,89.0
975,Star Trek,2009,8.0,82,545148,80.0
976,Pan's Labyrinth,2006,8.2,98,545111,82.0
977,The Social Network,2010,7.7,95,544959,77.0
978,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
979,Ratatouille,2007,8.0,96,543097,80.0
980,12 Years a Slave,2013,8.1,96,543047,81.0
981,Fargo,1996,8.1,85,533104,81.0
982,Shrek,2001,7.9,84,530118,79.0
983,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
984,World War Z,2013,7.0,63,529104,70.0
985,Twelve Monkeys,1995,8.0,74,524491,80.0
986,Prometheus,2012,7.0,64,521150,70.0
987,Apocalypse Now,1979,8.5,94,520058,85.0
988,Casino Royale,2006,8.0,80,519852,80.0
989,Ted,2012,7.0,62,519682,70.0
990,Spirited Away,2001,8.6,96,516890,86.0
991,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
992,Edge of Tomorrow,2014,7.9,71,516275,79.0
993,Groundhog Day,1993,8.0,72,514963,80.0
994,Argo,2012,7.7,86,513656,77.0
995,Captain America: Civil War,2016,7.8,75,512833,78.0
996,X-Men,2000,7.4,64,512495,74.0
997,2001: A Space Odyssey,1968,8.3,82,509086,83.0
998,Life of Pi,2012,7.9,79,507235,79.0
999,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1000,Psycho,1960,8.5,97,502693,85.0
1001,Into the Wild,2007,8.1,73,500615,81.0
1002,Heat,1995,8.2,76,498521,82.0
1003,Drive,2011,7.8,78,497249,78.0
1004,Logan,2017,8.1,77,495828,81.0
1005,Prisoners,2013,8.1,74,490946,81.0
1006,Inside Out,2015,8.2,94,490214,82.0
1007,Frozen,2013,7.5,74,488549,75.0
1008,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1009,Jaws,1975,8.0,87,484517,80.0
1010,Kick-Ass,2010,7.6,66,480883,76.0
1011,Looper,2012,7.4,84,480184,74.0
1012,Spider-Man 2,2004,7.3,83,473808,73.0
1013,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1014,L.A. Confidential,1997,8.3,90,472355,83.0
1015,Superbad,2007,7.6,76,465208,76.0
1016,The Matrix Reloaded,2003,7.2,62,461122,72.0
1017,X2,2003,7.5,68,459676,75.0
1018,Arrival,2016,7.9,81,459227,79.0
1019,21 Jump Street,2012,7.2,69,459122,72.0
1020,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1021,The Bourne Identity,2002,7.9,68,458251,79.0
1022,No Country for Old Men,2007,8.1,91,722825,81.0
1023,I Am Legend,2007,7.2,65,606795,72.0
1024,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1025,Transformers,2007,7.1,61,554168,71.0
1026,Ratatouille,2007,8.0,96,543097,80.0
1027,Into the Wild,2007,8.1,73,500615,81.0
1028,Superbad,2007,7.6,76,465208,76.0
1029,Juno,2007,7.5,81,452548,75.0
1030,There Will Be Blood,2007,8.1,93,439937,81.0
1031,Harry Potter and the Order of the Phoenix,2007,7.5,71,421412,75.0
1032,Hot Fuzz,2007,7.9,81,403810,79.0
